country_id;country_name;powerplant_name;gppd_idnr;capacity_mw;latitude;longitude;primary_fuel_id;primary_fuel;source;url;geolocation_source;generation_gwh_2013;generation_gwh_2014;generation_gwh_2015;generation_gwh_2016;generation_gwh_2017
3;United States of America;Sand Hill;USA0007900;6964000000000000;302098;-976129;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;1348212;1197899;1631347;1610398;1381459
3;United States of America;Sand Ranch Windfarm LLC;USA0056973;99;456447;-1194767;1;Wind;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;24926000000000000;24934;21315;21179000000000000;20004
3;United States of America;Sandow No 4;USA0006648;5906;305659;-970640;5;Coal;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;4008512049;4501016976;4104611025;395047698;4038128039
3;United States of America;Sandow No 5;USA0052071;6615;305681;-970614;5;Coal;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;4535753007;4188796963000000;3405817031;4364569988;4482754049
3;United States of America;Sandstone Rapids;USA0004074;38;452333;-880678;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;10182;13127;13418000000000000;23481;18209
3;United States of America;Sandy Creek Energy Station;USA0056611;10080;314744;-969571;5;Coal;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;3366434;6479705;3492531;0;6331884
3;United States of America;Sandy Cross Solar  LLC;USA0058491;12;358683;-779542;13;Solar;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;21270000000000000;21470000000000000;1999;2141;2179
3;United States of America;Sandy Ridge Wind Farm;USA0057285;500;407292;-782874;1;Wind;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;138758;148962;150024;155711;153305
3;United States of America;Sanford;USA0000620;23778000000000000;288419;-813256;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;9106377;0;0;0;9801725
3;United States of America;Sanford Dam;USA0050157;36000000000000000;436773;-843802;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;9045;8364;511;9749;11534
3;United States of America;Santa Ana 1;USA0000361;32;341452;-1170585;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;21350000000000000;513;11320000000000000;876;5593
3;United States of America;Santa Ana 3;USA0000363;31;341072;-1170991;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;3737;17770000000000000;2975;2699;9042
3;United States of America;Santa Clara Cogen;USA0007232;78;373643;-1219442;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;49592;0;0;0;46435
3;United States of America;Santa Cruz Energy;USA0057876;16;369733;-1221056;3;Waste;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;10146;8635;9099;9149000000000000;10246
3;United States of America;Santa Maria EPG;USA0056284;55;350408;-1206367;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;23238000000000000;25329000000000000;18413;16039;8919
3;United States of America;Santa Maria LFG Power Plant;USA0057100;11;349537;-1204142;3;Waste;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;9122;9019;9011000000000000;9027000000000000;9212
3;United States of America;Santa Rita Jail;USA0058625;49;377192;-1218869;14;Storage;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;0;0;0;0;148
3;United States of America;Santa Rosa Energy Center;USA0055242;2745;305664;-871150;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;37511200000000000;464851;5444930000000000;1480377;881473
3;United States of America;Santan;USA0008068;13260000000000000;333325;-1117503;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;2859686;2794179;35214630000000000;2985179;3717437
3;United States of America;Santeetlah;USA0054898;450;354475;-838639;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;204816;126602;155079;83767;10056700000000000
3;United States of America;Sappi Cloquet Mill;USA0050639;945;467243;-924298;3;Waste;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;41394819600000000;43559327500000000;438753181;43079456400000000;46096038800000000
3;United States of America;Saranac Facility;USA0054574;2856;447132;-734557;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;485149;224631;185277;8857900000000000;60263000000000000
3;United States of America;Sargent;USA0002300;24;416416;-993698;6;Oil;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;6;6;9;7;2
3;United States of America;Sargent Canyon Cogeneration;USA0050864;382;359359;-1208408;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;278982;284311;273148;296315;0
3;United States of America;Sarpy County;USA0002292;33770000000000000;411706;-959706;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;6570100000000000;34804;32807000000000000;52768000000000000;7965900000000000
3;United States of America;Sauder Power Plant;USA0054974;72;415152;-842935;3;Waste;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;27232;3051;30604000000000000;30944000000000000;28764000000000000
3;United States of America;Savannah River Mill;USA0010361;1404;323313;-812015;12;Petcoke;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;0;0;0;0;19174099800000000
3;United States of America;Savannah River Site Biomass Cogen;USA0057138;208;332833;-816667;3;Waste;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;68783;70925;7652000000000000;7902000000000000;9522
3;United States of America;Savoonga;USA0057052;17000000000000000;636953;-1704757;6;Oil;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;1821;1901;0;0;2289
3;United States of America;Sawtooth Wind Project;USA0057749;224;429822;-1153933;1;Wind;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;54268;59691;49976;60872;5238
